RANK,NAME,SYMBOL,PRICE($),VOLUME,MARKETCAP,EventProcessedDate
1,Tether,usdt,1.00032,18968826793,69204776237.0,2023-02-14
2,Bitcoin,btc,22209.3,13534356735,427789765436.0,2023-02-14
3,Binance USD,busd,0.999616,7345609964,21835012862.0,2023-02-14
4,Ethereum,eth,1558.58,3182478775,189286997756.0,2023-02-14
5,USD Coin,usdc,0.999949,567780822,42563241888.0,2023-02-14
6,Solana,sol,21.937,456772090,8038048805.0,2023-02-14
7,XRP,xrp,0.378816,392950524,19090656052.0,2023-02-14
8,Polygon,matic,1.25475,378491339,11236937735.0,2023-02-14
9,Binance Coin,bnb,297.564,347676223,47785151336.0,2023-02-14
10,Aptos,apt,14.3912,324549179,2105620196.0,2023-02-14
11,Fantom,ftm,0.511439,321375230,1420373277.0,2023-02-14
12,Hashflow,hft,0.716974,231009758,125634849.0,2023-02-14
13,SingularityNET,agix,0.457354,218579963,535766025.0,2023-02-14
14,Cardano,ada,0.38748,182353213,13579244878.0,2023-02-14
15,Dogecoin,doge,0.0833724,169444024,11445995643.0,2023-02-14
16,SHIBA INU,shib,1.27487e-05,167465970,7513747129.0,2023-02-14
17,Optimism,op,2.40905,161054866,541431079.0,2023-02-14
18,The Graph,grt,0.167729,157180563,1474032160.0,2023-02-14
19,Litecoin,ltc,95.2303,155000280,6839402538.0,2023-02-14
20,Fetch.ai,fet,0.451992,153953775,311023802.0,2023-02-14
21,Lido DAO Token,ldo,2.54709,131708528,2110690485.0,2023-02-14
22,Mina,mina,1.00387,116695846,841824311.0,2023-02-14
23,Render Token,rndr,1.72787,109523364,478344400.0,2023-02-14
24,Avalanche,avax,18.0668,97840607,5653003920.0,2023-02-14
25,Gala,gala,0.0439099,95135211,331190737.0,2023-02-14
26,dYdX,dydx,2.66294,93762695,372615796.0,2023-02-14
27,Magic,magic,1.65113,90595943,341780302.0,2023-02-14
28,Curve,crv,1.07526,88440573,782835329.0,2023-02-14
29,Hooked Protocol,hook,2.56265,87831708,128132929.0,2023-02-14
30,ChainLink,link,6.8265,79073701,3355910885.0,2023-02-14
31,TRON,trx,0.0665839,78625306,6129338964.0,2023-02-14
32,The Sandbox,sand,0.715019,78489799,1123980264.0,2023-02-14
33,Polkadot,dot,6.2415,75883722,7374056964.0,2023-02-14
34,Hedera,hbar,0.0876655,74384279,2233106756.0,2023-02-14
35,Cosmos,atom,13.4709,67034269,3899540940.0,2023-02-14
36,Oasis Network,rose,0.0774894,65522013,389722005.0,2023-02-14
37,Terra Classic,luna,0.000169529,63337485,1007986620.0,2023-02-14
38,TerraClassicUSD,ust,0.03039,62662059,297806814.0,2023-02-14
39,Multi Collateral DAI,dai,0.999945,61687017,5194570308.0,2023-02-14
40,NEAR Protocol,near,2.24151,59096303,1875794200.0,2023-02-14
41,Aave,aave,82.9043,56904827,1173146968.0,2023-02-14
42,Highstreet,high,3.24397,56668529,99404117.0,2023-02-14
43,Filecoin,fil,5.07587,51714613,1977122482.0,2023-02-14
44,USDD,usdd,0.986675,51008271,715667212.0,2023-02-14
