RANK,NAME,SYMBOL,PRICE($),VOLUME,MARKETCAP
1,Tether,usdt,1.00010,26951991018,69792903602
2,Bitcoin,btc,24927.9,21366479528,480932962640
3,Binance USD,busd,0.999744,10087772772,13849046693
4,Ethereum,eth,1716.47,4897407169,210052203206
5,USD Coin,usdc,0.999975,705324844,41603125625
6,Polygon,matic,1.45766,594931892,12731666407
7,Binance Coin,bnb,320.989,556520374,50683558179
8,Solana,sol,23.7502,520270058,8944101396
9,Conflux Network,cfx,0.129088,476195921,269889968
10,XRP,xrp,0.400659,449697079,20353132789
11,Dogecoin,doge,0.0898374,363824821,11918802984
12,Aptos,apt,15.9559,360779400,2594824629
13,Fantom,ftm,0.578238,349050763,1605927351
14,SHIBA INU,shib,0.0000136597,346104457,7500092973
15,Drep [new],drep,0.648100,261767077,31586773
16,Gala,gala,0.0496993,257696000,346762629
17,Cardano,ada,0.408797,253438933,14158420821
18,SingularityNET,agix,0.454869,236281656,547718530
19,Litecoin,ltc,103.199,228716502,7460651823
20,Optimism,op,2.93333,220649444,688596075
21,The Sandbox,sand,0.786649,180219840,1179557318
22,Lido DAO Token,ldo,2.96507,178762487,2502112907
23,Blur,blur,0.954559,174487056,0.000000
24,TrueFi,tru,0.112464,165688338,109678928
25,Alchemy Pay,ach,0.0219358,160973665,111481616
26,ChainLink,link,7.40411,158700077,3761288127
27,Avalanche,avax,20.1491,157684449,6349522603
28,Magic,magic,2.25607,149112254,472120805
29,The Graph,grt,0.180671,147168311,1588031173
30,Render Token,rndr,1.99216,145750997,505609980
31,Mina,mina,1.13176,145010965,951227294
32,Stargate Finance,stg,1.29211,142052530,200950839
33,dYdX,dydx,3.10269,134766816,484814706
34,Fetch.ai,fet,0.457613,127731585,374745609
35,Polkadot,dot,6.66602,127507100,7716204143
36,Hooked Protocol,hook,2.90615,123701491,145307762
37,Filecoin,fil,5.85148,121891098,2279233852
38,TRON,trx,0.0691993,117953313,6338555002
39,NEAR Protocol,near,2.54239,106417768,2183229710
40,USDD,usdd,0.999386,103208104,724887285
41,Cosmos,atom,14.2358,102931342,4076711459
42,Loopring,lrc,0.483200,95489690,642721736
43,Hashflow,hft,0.732471,91702365,136566594
44,Curve,crv,1.18653,90710156,863957333
45,Decentraland,mana,0.737251,82888363,1367663389
46,Mask Network,mask,4.20767,80017499,286963363
47,Multi Collateral DAI,dai,0.999765,74547841,5203184825
48,Terra Classic,luna,0.000175005,72116758,1034877830
49,MultiversX,egld,49.9190,69540748,1248495630
50,STEPN,gmt,0.476247,68323011,285748543
