RANK,NAME,SYMBOL,PRICE($),VOLUME,MARKETCAP
1,Tether,usdt,1.00008,26856813912,69791867982
2,Bitcoin,btc,24887.6,21380670411,480155842312
3,Binance USD,busd,0.999353,10076071361,13843639214
4,Ethereum,eth,1713.76,4895015479,209719594709
5,USD Coin,usdc,1.00000,690891000,41604401940
6,Polygon,matic,1.46087,589549558,12759704623
7,Binance Coin,bnb,320.516,556077755,50608903097
8,Solana,sol,23.6925,520320415,8922402779
9,Conflux Network,cfx,0.127819,484899963,267237529
10,XRP,xrp,0.399473,447578114,20292875234
11,Dogecoin,doge,0.0896511,362042416,11894080806
12,Aptos,apt,15.8970,359698948,2585253496
13,Fantom,ftm,0.576693,349961656,1601638317
14,SHIBA INU,shib,0.0000136697,344726489,7505561512
15,Drep [new],drep,0.645500,261068048,31460056
16,Gala,gala,0.0495118,257558015,345454659
17,Cardano,ada,0.407837,253354471,14125199650
18,SingularityNET,agix,0.453551,238499356,546130708
19,Litecoin,ltc,102.887,228532060,7438116355
20,Optimism,op,2.91582,220702723,684485169
21,The Sandbox,sand,0.785245,179951125,1177452799
22,Lido DAO Token,ldo,2.91340,178737613,2458510480
23,Blur,blur,0.932463,174180241,0.000000
24,Alchemy Pay,ach,0.0218470,162153760,111030033
25,TrueFi,tru,0.105977,161884185,103352134
26,ChainLink,link,7.37497,158072831,3746488661
27,Avalanche,avax,20.0484,157536721,6317767979
28,The Graph,grt,0.179993,148147583,1582073432
29,Mina,mina,1.12478,147474018,945358921
30,Magic,magic,2.29346,146697249,479945296
31,Render Token,rndr,1.99283,146641188,505778342
32,Stargate Finance,stg,1.24219,135725078,193187284
33,dYdX,dydx,3.05586,134210693,477498366
34,Fetch.ai,fet,0.457335,128724042,374517618
35,Polkadot,dot,6.63668,127165634,7682237619
36,Hooked Protocol,hook,2.88956,122479666,144478435
37,Filecoin,fil,5.80271,118008167,2260238966
38,TRON,trx,0.0692130,117823367,6339813139
39,NEAR Protocol,near,2.54421,105457307,2184792241
40,Cosmos,atom,14.2104,102943960,4069444272
41,USDD,usdd,0.999133,101349956,724703249
42,Loopring,lrc,0.483125,95202235,642620839
43,Hashflow,hft,0.730802,91235915,136255455
44,Curve,crv,1.18665,89199316,864047154
45,Decentraland,mana,0.734746,82874796,1363015741
46,Mask Network,mask,4.20945,80014779,287085099
47,Multi Collateral DAI,dai,0.999744,74599965,5203071356
48,Terra Classic,luna,0.000174573,71858452,1032321681
49,MultiversX,egld,49.9232,69432854,1248600300
50,STEPN,gmt,0.475057,68237735,285034504
