RANK,NAME,SYMBOL,PRICE($),VOLUME,MARKETCAP
1,Tether,usdt,1.00008,27020244025,69791794427
2,Bitcoin,btc,24985.4,21374896828,482041904834
3,Binance USD,busd,0.999697,10114182419,13848406769
4,Ethereum,eth,1719.86,4903900404,210466952469
5,USD Coin,usdc,0.999977,702022955,41603206166
6,Polygon,matic,1.45507,596704670,12709088424
7,Binance Coin,bnb,321.542,556907019,50770920553
8,Solana,sol,23.8312,520359661,8974625470
9,Conflux Network,cfx,0.127843,473427336,267286571
10,XRP,xrp,0.400926,450484809,20366712100
11,Dogecoin,doge,0.0900491,363758177,11946893041
12,Aptos,apt,15.9808,360808422,2598872865
13,Fantom,ftm,0.579671,348994912,1609908496
14,SHIBA INU,shib,0.0000136796,346362136,7511006616
15,Drep [new],drep,0.651800,261961969,31767102
16,Gala,gala,0.0499664,257923618,348626434
17,Cardano,ada,0.409588,253544527,14185844363
18,SingularityNET,agix,0.457195,235544052,550518953
19,Litecoin,ltc,103.217,228857323,7462007939
20,Optimism,op,2.93874,220665618,689864691
21,The Sandbox,sand,0.787377,180307387,1180648452
22,Lido DAO Token,ldo,2.98069,179295148,2515298154
23,Blur,blur,0.975122,174368614,0.000000
24,TrueFi,tru,0.113071,166521641,110270590
25,Alchemy Pay,ach,0.0222988,160784107,113326267
26,ChainLink,link,7.41305,158501916,3765831273
27,Avalanche,avax,20.2658,157933489,6386276047
28,Magic,magic,2.26605,149549777,474208934
29,The Graph,grt,0.181572,147333278,1595952622
30,Render Token,rndr,1.99818,145625722,507137365
31,Mina,mina,1.13400,144606494,953107694
32,Stargate Finance,stg,1.29975,143938512,202138444
33,dYdX,dydx,3.12475,135184721,488261777
34,Fetch.ai,fet,0.458354,127708510,375352479
35,Polkadot,dot,6.68419,127643414,7737235030
36,Hooked Protocol,hook,2.90300,123734372,145150262
37,Filecoin,fil,5.90251,122675412,2299111308
38,TRON,trx,0.0692169,118162286,6340162420
39,NEAR Protocol,near,2.54504,106568845,2185509417
40,USDD,usdd,0.999243,103878000,724783368
41,Cosmos,atom,14.2579,102852536,4083054358
42,Loopring,lrc,0.483990,95723963,643771472
43,Hashflow,hft,0.735650,91747988,137159413
44,Curve,crv,1.19068,90814280,866982451
45,Decentraland,mana,0.738350,82992046,1369702173
46,Mask Network,mask,4.22463,79951071,288120050
47,Multi Collateral DAI,dai,0.999739,74578049,5203047305
48,Terra Classic,luna,0.000175212,72207675,1036103050
49,MultiversX,egld,50.0237,69592584,1251115247
50,STEPN,gmt,0.477600,68338237,286560449
